Workload Size,User Time,System Time,Total Time
2,0.000541,0,0.00049
4,0.000416,0,0.000423
8,0.000373,0,0.000432
16,0.000342,0,0.000341
32,0.000398,0,0.00047
64,0.000399,0,0.00043
128,0.000395,0,0.000469
256,0.00044,0,0.000449
512,0.000401,0,0.000482
1024,0.000488,0,0.000518
2048,0.000704,0,0.000544
4096,0.000626,0,0.000566
