Workload Size,User Time,System Time,Total Time
2,0.000336,0,0.000332
4,0.00034,0,0.000315
8,0.000386,0,0.000365
16,0.000417,0,0.000395
32,0.000419,0,0.000365
64,0.000342,0,0.000366
128,0.00042,0,0.000362
256,0.000309,0,0.00032
512,0.000463,0,0.00047
1024,0.000374,0,0.00042
2048,0.000428,0,0.00058
4096,0.000398,0,0.000811
